# num_gen, best, avg
486 31707.4 49924.4
487 31707.4 50640.3
488 31707.4 49260.7
489 31707.4 49254
490 31707.4 49169.7
491 31707.4 49509.7
492 31707.4 50122.5
493 31707.4 50704.8
494 31707.4 50632.9
495 31707.4 50547.9
496 31707.4 50867.8
497 31707.4 51154.1
498 31707.4 52283.7
499 31239.1 52012.7
500 31239.1 51059.4
501 31239.1 52245.2
502 31239.1 52728.3
503 31239.1 53117.9
504 31239.1 53394.7
505 31239.1 55089.3
506 31239.1 55703.9
507 31239.1 57100.8
508 31239.1 56117.4
509 31239.1 57523.7
510 31239.1 55565.2
511 31239.1 55886
512 31239.1 56229.8
513 31239.1 54930.5
514 31239.1 53627.7
515 31239.1 54008.2
516 31239.1 55654.6
517 31239.1 56158.9
518 31239.1 55223.4
519 31239.1 53213
520 31239.1 52614.4
521 31239.1 52758.9
522 31239.1 53011
523 31239.1 52354.2
524 31239.1 51283.8
525 31239.1 50497.5
526 31239.1 50037.4
527 31239.1 50384.1
528 31239.1 50231.9
529 31239.1 52705.9
530 31239.1 53740.7
531 31239.1 55576
532 31239.1 56095.1
533 31239.1 56232.8
534 31239.1 56258.8
535 31239.1 56648.7
536 31239.1 55447.3
537 31239.1 55087.9
538 31239.1 55358.8
539 31239.1 53704
540 31239.1 53420.1
541 31239.1 52650.6
542 31239.1 52459.5
543 31239.1 53017.5
544 31239.1 54824.4
545 31239.1 55052.6
546 31239.1 55543.5
547 31239.1 56566.3
548 31239.1 56106.6
549 31239.1 55702.5
550 31239.1 54266.9
551 31239.1 53518.9
552 31239.1 53560.1
553 31239.1 52062.6
554 31239.1 52869.4
555 31239.1 52946.4
556 31239.1 55169.5
557 31239.1 56621.6
558 31239.1 57038.5
559 31239.1 57143
560 31239.1 55840.3
561 31239.1 54492
562 31239.1 52792.9
563 31239.1 52303.8
564 31239.1 53373.3
565 31239.1 51909.2
566 31239.1 52282.4
567 29969.1 51746.4
568 29969.1 52175.1
569 29969.1 52475.3
570 29969.1 52769.2
571 29969.1 51919.6
572 29969.1 51946
573 29969.1 53911.1
574 29969.1 54011.9
575 29969.1 56375.3
576 29969.1 56844.8
577 29969.1 57697.8
578 29969.1 57709.1
579 29969.1 56720.2
580 29969.1 57072.2
581 29969.1 55506.2
582 29969.1 54689.5
583 29969.1 53885.1
584 29969.1 52516.9
585 29969.1 51278.6
586 29969.1 50994.8
587 29969.1 49484
588 29969.1 48193.6
589 29969.1 48699
590 29969.1 49289.8
591 29969.1 49384.6
592 29969.1 49435.2
593 29969.1 49225.9
594 29969.1 48615.8
595 29969.1 48964.4
596 29969.1 49931.4
597 29969.1 51184.3
598 29969.1 52618
599 29969.1 52051.8
600 29969.1 54101.7
601 29774.6 53934.8
602 29774.6 53731.4
603 29774.6 53959.7
604 29774.6 54476.1
605 29774.6 53361.1
606 29774.6 52938.9
607 29774.6 52325.3
608 29774.6 52876.7
609 29774.6 53914.7
610 29774.6 54089.8
611 29774.6 53789.6
612 29774.6 54200.3
613 29774.6 52993.7
614 29774.6 52130.3
615 29774.6 51833.3
616 29774.6 53765.1
617 29774.6 52982.1
618 29774.6 55179.9
619 29774.6 57194.3
620 29774.6 57053.2
621 29774.6 58405
622 29774.6 57666.5
623 29774.6 59113.7
624 29774.6 59010.1
625 29774.6 59605
626 29774.6 57633
627 29774.6 59165.6
628 29774.6 58627.9
629 29774.6 56899.3
630 29774.6 55117.8
631 29774.6 54297.9
632 29774.6 53613.5
633 29774.6 53859.4
634 29774.6 52811.6
635 29774.6 51336.5
636 29774.6 49394.3
637 29774.6 49494.1
638 29774.6 50845.2
639 29774.6 51057.7
640 29774.6 50304.1
641 29774.6 50469.1
642 29774.6 51275.7
643 29774.6 51869.7
644 29774.6 51863.2
645 29774.6 52601.4
646 29774.6 53012.6
647 29774.6 52818.6
648 29774.6 53164.7
649 29774.6 52844
650 29774.6 53282.1
651 29774.6 53871.4
652 29774.6 55464.8
653 29774.6 55791
654 29774.6 56820.3
655 29774.6 55838.3
656 29774.6 54772.4
657 29774.6 54552
658 29774.6 53598
659 29774.6 53212.4
660 29774.6 53035.4
661 29774.6 52155.8
662 29774.6 53297.3
663 29774.6 54713.4
664 29774.6 55936.9
665 29774.6 56514.4
666 29774.6 55042.5
667 29774.6 55710.3
668 29774.6 55033.9
669 29774.6 55815.5
670 29774.6 58070.6
671 29774.6 57546.4
672 29774.6 56897.5
673 29774.6 53390.4
674 29774.6 53154.4
675 29774.6 52913.6
676 29774.6 53412.3
677 29774.6 52850.6
678 29774.6 53658.5
679 29774.6 53569
680 29774.6 53187.1
681 29774.6 53700.8
682 29774.6 53540.4
683 29774.6 53806.1
684 29774.6 54967.7
685 29774.6 54568.2
686 29774.6 54674.4
687 29774.6 55421.4
688 29774.6 54372.1
689 29774.6 52468.7
690 29774.6 53336.2
691 29774.6 53970.7
692 29774.6 54188.4
693 29774.6 53459.9
694 29774.6 53106.3
695 29774.6 52609
696 29774.6 52936.8
697 29774.6 52687
698 29765.6 52583.4
699 29765.6 52531.1
700 29765.6 53316
701 29765.6 54935.6
702 29765.6 54942.2
703 29765.6 55289.1
704 29765.6 55258.7
705 29765.6 56905
706 29765.6 56631.4
707 29765.6 55740.9
708 29765.6 56171.6
709 29765.6 54964.9
710 29765.6 56164.8
711 29765.6 56026.7
712 29765.6 55145.7
713 29765.6 56407.7
714 29765.6 56119.1
715 29765.6 55866.2
716 29765.6 56460.8
717 29765.6 55895.1
718 29765.6 56818.2
719 29765.6 57398.8
720 29765.6 57492.9
721 29765.6 56767
722 29765.6 55977.1
723 29765.6 54721.3
724 29518.6 52728.3
725 29518.6 51759.5
726 29518.6 52613.5
727 29518.6 52480.7
728 29518.6 51832.3
729 29518.6 51431
730 29518.6 50448.9
731 29518.6 50392.8
732 29518.6 49175.4
733 29518.6 49173.1
734 29518.6 49635.8
735 29518.6 50006.4
736 29518.6 51331.8
737 29518.6 51242.9
738 29518.6 50653.8
739 29518.6 51799
740 29397.6 49269.7
741 29397.6 49785.7
742 29397.6 49881.6
743 29397.6 50211.7
744 29397.6 50934.3
745 29397.6 50076.1
746 29397.6 50304.7
747 29397.6 51188.6
748 29397.6 52089.7
749 29397.6 52085.2
750 29397.6 53573.2
